City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
275,komsomolskiy,74,RU,1561852711,49,67.55,63.78,59.83,16.89
276,aneho,20,TG,1561852998,88,6.23,1.6,78.8,8.05
277,mecca,0,SA,1561852711,30,21.43,39.83,86.99,6.82
278,juneau,20,US,1561852956,32,58.3,-134.42,82.4,9.17
279,hauterive,90,CA,1561852999,93,49.18,-68.27,60.01,8.05
280,bonthe,99,SL,1561852999,89,7.53,-12.5,76.98,10.65
281,parana,90,BR,1561853000,94,-7.52,-72.89,77.0,3.36
282,sibolga,86,ID,1561853000,77,1.74,98.78,81.65,6.62
283,luderitz,0,NA,1561853000,87,-26.65,15.16,51.8,3.36
284,hambantota,100,LK,1561853000,77,6.12,81.12,82.64,20.87
285,baglan,75,GB,1561853001,93,51.62,-3.81,61.0,12.75
286,talnakh,0,RU,1561853001,81,69.49,88.39,48.2,11.18
287,juba,2,EE,1561853001,82,57.82,26.93,57.2,10.29
288,paamiut,100,GL,1561853001,94,61.99,-49.67,36.61,2.68
289,tacuarembo,94,UY,1561852960,96,-31.73,-55.98,64.33,11.5
290,lake havasu city,1,US,1561853002,9,34.47,-114.34,102.2,8.05
291,turbat,18,PK,1561853002,82,26.0,63.05,81.05,7.14
292,obo,100,CF,1561853002,94,5.39,26.49,68.61,2.35
293,ilesha,26,NG,1561853002,99,7.14,5.26,71.06,2.37
294,itanhem,2,BR,1561853002,94,-17.17,-40.33,64.28,2.51
295,paragould,1,US,1561852978,46,36.06,-90.5,91.99,3.36
296,royan,90,FR,1561853003,88,45.62,-1.03,66.2,8.05
297,aykhal,0,RU,1561853003,36,65.95,111.51,78.8,4.47
298,trebon,0,CZ,1561853003,92,49.0,14.77,57.99,3.49
299,goderich,16,CA,1561853003,87,43.74,-81.71,73.0,1.01
300,zhezkazgan,4,KZ,1561853004,68,47.8,67.71,62.24,16.73
301,katsuura,75,JP,1561853004,94,33.93,134.5,80.6,3.36
302,port moresby,20,PG,1561853004,69,-9.47,147.16,80.6,23.04
303,khash,0,IR,1561853004,21,28.22,61.21,74.01,4.88
304,lukulu,1,ZM,1561853004,53,-14.38,23.24,52.29,2.98
305,santa maria da boa vista,57,BR,1561853005,52,-8.8,-39.83,75.45,16.35
306,pangody,0,RU,1561853005,50,65.85,74.49,59.29,5.39
307,bavleny,84,RU,1561853005,82,56.4,39.56,45.83,11.3
308,shabqadar,22,PK,1561853005,39,34.21,71.56,76.97,5.68
309,arman,100,RU,1561853006,85,59.7,150.17,52.38,5.53
310,ciudad bolivar,69,VE,1561853009,67,8.12,-63.55,82.71,11.5
311,ereymentau,0,KZ,1561853009,74,51.62,73.1,53.71,7.63
312,velikiy ustyug,56,RU,1561853009,99,60.76,46.3,53.08,5.7
313,ca mau,100,VN,1561853009,86,9.18,105.15,81.11,3.51
314,mabaruma,23,GY,1561853010,91,8.2,-59.78,74.39,3.18
315,dalvik,34,SE,1561853010,67,57.79,14.13,61.0,6.93
316,busayra,0,JO,1561853010,52,30.74,35.61,79.92,3.51
317,yulara,0,AU,1561852867,38,-25.24,130.99,42.8,6.93
318,saint-augustin,90,CA,1561853010,93,45.63,-73.98,69.01,3.36
319,male,13,UA,1561853012,93,50.74,33.7,47.91,7.9
320,noumea,75,NC,1561853012,83,-22.28,166.46,71.6,4.7
321,laguna,75,BZ,1561853013,78,16.17,-88.94,82.4,4.7
322,calamar,87,CO,1561853013,97,1.96,-72.65,72.25,1.77
323,batagay-alyta,89,RU,1561853014,74,67.8,130.41,44.73,3.18
324,huarmey,23,PE,1561853017,87,-10.07,-78.15,63.7,16.42
325,sambava,24,MG,1561853017,96,-14.27,50.17,66.78,2.89
326,sterling,75,US,1561852946,54,39.0,-77.4,86.0,5.82
327,ballina,40,IE,1561853018,89,54.11,-9.15,59.0,8.99
328,kirakira,62,SB,1561853018,78,-10.46,161.92,82.58,8.75
329,champerico,40,MX,1561853019,65,16.38,-93.6,80.6,14.99
330,meadow lake,75,CA,1561852979,87,54.13,-108.44,53.6,20.8
331,marrakesh,0,MA,1561853019,64,31.63,-7.99,69.8,5.82
332,leh,76,IN,1561853019,45,34.16,77.58,30.71,3.0
333,anadyr,40,RU,1561853020,66,64.73,177.51,55.4,8.95
334,volokonovka,0,RU,1561853020,88,50.48,37.87,47.64,4.9
335,quelimane,0,MZ,1561853020,95,-17.88,36.89,64.58,0.81
336,totma,100,RU,1561853020,97,59.98,42.76,51.96,10.31
337,zacualpan,75,MX,1561853021,94,21.25,-105.17,89.6,6.06
338,faanui,71,PF,1561853022,78,-16.48,-151.75,76.03,24.58
339,coolidge,1,US,1561853022,7,32.98,-111.52,111.99,12.75
340,auki,0,NG,1561853023,69,12.18,6.51,79.68,9.04
341,jumla,15,NP,1561853023,88,29.28,82.18,50.27,3.09
342,scarborough,94,GB,1561852968,82,54.28,-0.41,68.0,12.75
343,bakel,1,SN,1561853023,42,14.9,-12.46,90.72,7.56
344,los llanos de aridane,90,ES,1561853023,73,28.66,-17.92,69.8,8.05
345,barentu,21,ER,1561853024,76,15.11,37.59,73.06,4.36
346,urucui,33,BR,1561852925,61,-7.23,-44.56,75.42,6.13
347,coari,74,BR,1561853024,75,-4.09,-63.14,80.1,2.42
348,samarai,100,PG,1561853024,86,-10.62,150.67,73.76,8.34
349,marsa matruh,40,EG,1561853024,94,31.35,27.25,77.0,6.93
350,nurota,0,UZ,1561853025,49,40.56,65.69,73.4,6.93
351,cayambe,40,EC,1561853029,72,0.04,-78.14,60.8,9.17
352,matata,0,NZ,1561853029,69,-37.89,176.76,62.01,3.0
353,havelock,1,US,1561852902,54,34.88,-76.9,84.2,10.29
354,alpena,1,US,1561853029,51,45.06,-83.43,80.6,11.41
355,batken,63,KG,1561853030,49,40.06,70.82,63.61,1.83
356,ormara,95,PK,1561853030,76,25.21,64.64,83.43,3.18
357,dicabisagan,100,PH,1561853030,82,17.08,122.42,80.37,1.9
358,ahipara,0,NZ,1561853030,68,-35.17,173.16,59.25,17.52
359,minas novas,2,BR,1561853031,95,-17.22,-42.59,60.24,3.78
360,cairns,20,AU,1561852816,68,-16.92,145.77,73.0,18.34
361,hervey bay,75,AU,1561853031,77,-25.3,152.85,66.2,6.93
362,udachnyy,0,RU,1561853032,36,66.42,112.4,78.8,4.47
363,stykkisholmur,100,IS,1561853032,75,65.08,-22.73,43.56,17.43
364,boa vista,40,BR,1561853034,83,2.82,-60.67,78.8,2.24
365,oranjestad,20,AW,1561852765,74,12.52,-70.03,84.2,24.16
366,amga,93,RU,1561853034,55,60.89,131.98,71.87,5.57
367,tutoia,20,BR,1561853036,90,-2.76,-42.27,74.27,3.89
368,tezu,90,IN,1561853036,87,27.93,96.16,75.49,1.36
369,winnemucca,1,US,1561853036,12,40.97,-117.74,84.2,12.75
370,guerrero negro,22,MX,1561853039,74,27.97,-114.04,68.15,23.26
371,azare,12,NG,1561853039,50,11.67,10.19,84.65,6.71
372,balsas,25,BR,1561853039,52,-7.53,-46.04,79.04,6.87
373,sinnamary,100,GF,1561853040,82,5.38,-52.96,80.91,14.18
374,hirara,40,JP,1561853040,83,24.8,125.28,84.2,16.11
375,washington,20,US,1561853019,74,38.9,-77.04,88.0,8.66
376,chitral,2,PK,1561853040,69,35.85,71.79,35.84,3.0
377,sumenep,20,ID,1561853041,75,-7.02,113.87,73.56,4.65
378,le port,8,FR,1561853041,42,42.87,1.37,72.0,1.88
379,tupi paulista,0,BR,1561853041,61,-21.38,-51.58,70.2,2.98
380,miri,7,NG,1561853041,73,10.31,9.75,75.47,3.53
381,nisia floresta,20,BR,1561853041,78,-6.09,-35.21,75.2,5.82
382,pangnirtung,0,CA,1561853042,45,66.15,-65.72,44.93,5.84
383,itarema,33,BR,1561853043,83,-2.92,-39.92,75.71,6.87
384,rio grande,76,BR,1561853044,89,-32.03,-52.1,69.15,7.74
385,ketchikan,75,US,1561853044,77,55.34,-131.65,62.6,11.41
386,vila do maio,20,CV,1561853044,78,15.13,-23.22,73.4,18.34
387,jijiga,88,ET,1561853049,87,9.35,42.8,58.7,9.95
388,serik,0,TR,1561852856,34,36.92,31.1,82.4,17.22
389,nenjiang,100,CN,1561853051,79,49.17,125.23,64.49,6.71
390,ilam,0,IR,1561853052,30,33.64,46.42,71.6,4.7
391,nanortalik,72,GL,1561853052,92,60.14,-45.24,35.85,3.0
392,mount isa,0,AU,1561853052,33,-20.73,139.49,62.6,10.29
393,vestmanna,97,FO,1561853052,100,62.16,-7.17,50.0,8.05
394,perelyub,98,RU,1561853052,73,51.87,50.37,60.82,7.2
395,lagoa,0,PT,1561853053,88,37.14,-8.45,69.8,4.7
396,lake city,1,US,1561853054,30,38.03,-107.32,78.01,13.87
397,lavrentiya,100,RU,1561853054,94,65.58,-170.99,44.39,9.33
398,davila,75,PH,1561853054,94,18.47,120.58,78.8,3.36
399,umm lajj,3,SA,1561853054,74,25.02,37.27,84.0,8.19
400,hemsedal,2,NO,1561853055,75,60.86,8.55,52.0,4.45
401,masty,55,BY,1561853055,94,53.42,24.54,55.87,7.81
402,aksu,0,KZ,1561853055,100,52.04,76.93,48.2,4.47
403,general roca,0,AR,1561852889,93,-39.03,-67.58,41.0,2.62
404,maraba,20,BR,1561853055,74,-5.35,-49.1,78.8,1.36
405,conde,3,BR,1561853056,96,-11.81,-37.61,69.12,3.06
406,vostok,100,RU,1561853056,72,46.45,135.83,64.74,2.8
407,constitucion,75,MX,1561853056,13,23.99,-104.67,84.2,12.75
408,ust-ishim,63,RU,1561853056,78,57.69,71.17,52.63,3.38
409,kokopo,89,PG,1561853057,65,-4.34,152.27,84.04,2.35
410,dunda,1,IN,1561853057,41,30.62,78.32,74.59,7.4
411,de-kastri,0,RU,1561853057,40,51.48,140.77,66.87,5.61
412,shu,36,KZ,1561853057,37,43.6,73.76,73.8,4.23
413,kamaishi,75,JP,1561853058,93,39.28,141.86,64.4,1.12
414,bathsheba,40,BB,1561853059,78,13.22,-59.52,82.4,21.92
415,san luis,0,AR,1561853059,66,-33.3,-66.34,47.82,4.81
416,bulungu,41,CD,1561853060,59,-4.54,18.6,75.15,1.45
417,tignere,68,CM,1561853061,95,7.37,12.65,68.4,1.07
418,roncesvalles,75,CO,1561853062,69,4.01,-75.61,78.8,4.7
419,hue,20,VN,1561853062,52,16.47,107.58,89.6,5.82
420,erzin,0,TR,1561853062,94,36.95,36.2,79.0,6.93
421,kaohsiung,40,TW,1561852871,66,22.62,120.31,89.6,14.99
422,vao,0,EE,1561853062,73,59.1,26.19,57.47,10.94
423,dukat,0,AL,1561853063,63,40.25,19.57,75.99,1.99
424,ruteng,89,ID,1561853063,67,-8.61,120.46,72.41,3.91
425,dmytrivka,25,UA,1561853063,66,50.46,30.17,57.99,6.71
426,nizhniy tsasuchey,100,RU,1561853064,71,50.52,115.13,59.42,8.84
427,alofi,100,NU,1561853064,83,-19.06,-169.92,75.2,11.41
428,tete,0,MZ,1561853065,82,-16.16,33.59,59.0,3.36
429,lubaczow,12,PL,1561853065,85,50.16,23.12,55.99,3.91
430,awbari,0,LY,1561853067,32,26.59,12.77,85.35,17.25
431,karaton,20,ID,1561853068,61,-6.34,106.1,80.01,6.93
432,tonawanda,1,US,1561853068,51,43.02,-78.88,81.0,9.17
433,kasongo-lunda,28,CD,1561853068,70,-6.48,16.82,68.36,2.75
434,nhulunbuy,90,AU,1561853068,83,-12.18,136.78,78.8,14.99
435,lodwar,70,KE,1561852805,53,3.12,35.6,82.78,11.45
436,batemans bay,0,AU,1561853069,50,-35.71,150.18,60.01,9.89
437,presidente epitacio,2,BR,1561853069,67,-21.76,-52.12,69.23,4.05
438,oriximina,19,BR,1561853069,73,-1.77,-55.87,81.72,4.03
439,manakara,96,MG,1561853070,93,-22.14,48.01,69.66,5.84
440,punta gorda,20,US,1561852931,74,26.93,-82.05,84.99,6.93
441,aripuana,64,BR,1561853070,64,-9.17,-60.63,77.47,0.76
442,bhopal,100,IN,1561853070,81,23.25,77.4,78.42,11.23
443,kuytun,0,RU,1561853072,78,54.34,101.51,63.57,8.14
444,aswan,0,EG,1561853072,22,24.09,32.9,89.6,11.41
445,tolaga bay,1,NZ,1561853072,48,-38.37,178.3,54.93,0.92
446,sinjai,83,ID,1561853072,84,-5.12,120.25,70.76,4.14
447,khani,90,GE,1561853073,93,41.96,42.96,62.6,3.36
448,orange walk,20,JM,1561853073,55,17.93,-76.27,87.8,23.04
449,wajima,75,JP,1561853073,100,37.4,136.9,68.0,6.93
450,henties bay,100,NA,1561853073,95,-22.12,14.28,54.0,1.99
451,ourem,20,PT,1561853074,93,39.64,-8.59,64.99,12.75
452,inirida,57,CO,1561853077,93,3.87,-67.92,75.51,2.37
453,george town,75,MY,1561853077,88,5.42,100.33,82.4,2.93
454,vrangel,100,RU,1561853078,98,42.73,133.08,53.46,2.93
455,ostercappeln,0,DE,1561853078,53,52.34,8.23,73.4,5.82
456,willowmore,16,ZA,1561853078,68,-33.3,23.49,44.44,3.09
457,fare,47,PF,1561853078,76,-16.7,-151.02,75.11,24.4
458,launceston,60,AU,1561853079,75,-41.43,147.14,51.01,20.8
459,miyako,75,JP,1561853079,83,33.63,130.94,78.01,10.29
460,nanakuli,75,US,1561853080,65,21.39,-158.15,87.8,13.87
461,deputatskiy,100,RU,1561853081,84,69.3,139.9,46.17,5.77
462,egvekinot,100,RU,1561853081,91,66.32,-179.17,40.68,10.02
463,ostrovnoy,100,RU,1561853081,54,68.05,39.51,46.62,3.62
464,leshukonskoye,100,RU,1561853082,98,64.9,45.76,56.09,6.31
465,sarai,40,IN,1561853082,89,25.78,85.28,84.2,9.17
466,srednekolymsk,99,RU,1561853082,60,67.46,153.71,53.69,9.57
467,deniliquin,0,AU,1561853082,88,-35.53,144.96,46.0,7.0
468,zaranj,0,AF,1561853082,28,30.95,61.86,85.43,11.97
469,reinosa,20,ES,1561853083,93,43.0,-4.14,63.0,2.24
470,sao felix do xingu,0,BR,1561853083,71,-6.64,-51.99,74.03,3.42
471,mayumba,5,GA,1561853084,88,-3.44,10.65,72.41,10.87
472,lososina,26,RU,1561853084,54,49.0,140.31,60.32,4.41
473,arlit,69,NE,1561853084,17,18.74,7.39,98.89,8.52
474,krasnyy luch,0,RU,1561853085,81,55.97,38.97,53.6,6.71
475,kedrovyy,75,RU,1561853085,93,56.17,91.82,64.4,11.18
476,luena,0,AO,1561853089,58,-11.78,19.91,51.15,2.21
477,turukhansk,98,RU,1561853089,70,65.8,87.96,54.52,9.15
478,peace river,90,CA,1561853090,87,56.23,-117.29,55.4,10.29
479,zyryanka,76,RU,1561853091,54,65.73,150.89,61.18,11.81
480,berdigestyakh,94,RU,1561853092,51,62.1,126.7,66.18,9.48
481,tura,6,RU,1561853092,43,64.27,100.22,77.74,5.21
482,isla vista,1,US,1561852901,68,34.41,-119.86,86.0,16.11
483,makakilo city,75,US,1561853092,71,21.35,-158.09,87.8,9.17
484,koutiala,62,ML,1561853092,60,12.39,-5.46,83.09,11.81
485,skibbereen,20,IE,1561853094,93,51.55,-9.27,55.4,8.05
486,tual,82,ID,1561853094,88,-5.67,132.75,78.78,18.48
487,bhadrak,96,IN,1561853096,74,21.06,86.51,83.72,4.36
488,kloulklubed,90,PW,1561853096,94,7.04,134.26,77.0,3.8
489,shimoda,75,JP,1561853097,94,34.7,138.93,78.8,23.04
490,tautira,75,PF,1561853097,61,-17.73,-149.15,78.8,9.17
491,baft,3,IR,1561853097,27,29.23,56.61,63.45,3.31
492,gelibolu,0,TR,1561853099,49,40.41,26.67,70.0,10.29
493,trairi,41,BR,1561852801,93,-3.28,-39.27,72.2,4.7
494,verkhoyansk,5,RU,1561853099,50,67.55,133.39,55.46,11.23
495,rancho palos verdes,1,US,1561853100,34,33.75,-118.37,86.0,11.41
496,pontes e lacerda,0,BR,1561853100,54,-15.23,-59.33,76.53,2.42
497,ramsgate,20,AU,1561853100,47,-33.98,151.14,62.01,5.82
498,seddon,20,AU,1561853100,61,-37.81,144.89,53.01,17.22
499,nang rong,0,TH,1561853102,83,14.64,102.79,84.99,8.05
500,muana,17,BR,1561853103,95,-1.53,-49.22,74.55,3.2
501,mayo,75,CA,1561853104,28,63.59,-135.9,84.2,10.29
502,muros,75,ES,1561853106,100,42.77,-9.06,64.99,4.7
503,padang,35,ID,1561853106,85,-0.92,100.36,80.28,12.01
504,ngunguru,8,NZ,1561853106,82,-35.62,174.5,57.99,5.99
505,winslow,10,GB,1561853106,77,51.94,-0.88,73.0,12.75
506,mudanjiang,100,CN,1561853107,97,44.58,129.6,58.71,4.05
507,mirador,10,BR,1561853109,62,-6.37,-44.36,75.54,7.0
508,novovarshavka,0,RU,1561853110,85,54.17,74.7,53.3,3.53
509,aitape,5,PG,1561853110,67,-3.15,142.36,82.65,2.37
510,kosonsoy,71,UZ,1561853110,44,41.25,71.55,77.0,4.7
511,eureka,1,US,1561852979,77,40.8,-124.16,64.99,17.22
512,bull savanna,100,JM,1561853112,78,17.89,-77.59,84.51,17.52
513,kokstad,0,ZA,1561853112,40,-30.55,29.42,47.68,6.51
514,chuy,97,UY,1561853112,99,-33.69,-53.46,63.3,1.68
515,baherden,0,TM,1561853112,27,38.44,57.43,77.49,5.77
516,lazaro cardenas,20,MX,1561853112,22,28.39,-105.62,91.4,8.05
517,nizwa,0,OM,1561853113,39,22.93,57.53,79.4,1.77
518,balikpapan,36,ID,1561853113,83,-1.24,116.86,73.42,3.96
519,iralaya,90,HN,1561853113,88,15.0,-83.23,80.6,3.06
520,leiyang,75,CN,1561853113,83,26.42,112.85,80.22,1.5
521,mossendjo,80,CG,1561853113,88,-2.95,12.72,67.01,4.25
522,nanchang,92,CN,1561853114,84,28.68,115.89,80.1,1.39
523,zhanakorgan,25,KZ,1561853056,28,43.91,67.25,83.88,10.11
524,nicoya,0,CR,1561853114,58,10.15,-85.45,86.0,14.99
525,burla,0,RU,1561853044,81,53.34,78.33,53.15,5.7
526,dekar,0,BW,1561853115,37,-21.53,21.93,54.66,7.78
527,fairbanks,1,US,1561852865,42,64.84,-147.72,89.01,5.82
528,hami,0,CN,1561853115,13,42.84,93.51,85.14,7.96
529,garden city,1,US,1561853116,17,43.62,-116.24,88.0,4.81
530,worthington,1,US,1561852948,56,43.62,-95.6,95.0,11.41
531,kisangani,55,CD,1561853116,82,0.52,25.21,72.12,1.83
532,namatanai,99,PG,1561853116,78,-3.66,152.44,80.96,7.43
533,cabadiangan,90,PH,1561853116,78,10.45,123.98,80.6,8.05
534,morondava,0,MG,1561853117,70,-20.3,44.28,78.05,12.68
535,araouane,37,ML,1561853117,31,18.9,-3.53,93.58,19.24
536,kununurra,46,AU,1561853117,38,-15.77,128.74,75.2,8.05
537,dzhebariki-khaya,3,RU,1561853117,42,62.22,135.8,72.34,4.0
538,longyan,100,CN,1561853117,84,25.1,117.03,80.15,2.13
539,kieta,83,PG,1561853118,75,-6.22,155.63,82.06,1.12
540,paso de carrasco,90,UY,1561853118,100,-34.86,-56.05,57.99,4.7
541,luwingu,0,ZM,1561853118,68,-10.26,29.92,49.37,4.21
542,bahia blanca,100,AR,1561853118,89,-38.72,-62.27,45.36,7.38
543,nola,31,CF,1561853119,88,3.52,16.05,71.3,0.85
544,hanko,64,FI,1561853119,87,59.83,22.95,59.0,3.0
545,kenitra,75,MA,1561853119,77,34.26,-6.57,70.0,8.05
546,balakhninskiy,12,RU,1561853119,56,58.01,114.28,72.09,0.6
547,groa,90,FR,1561853120,93,48.67,-4.14,61.0,9.17
548,mikkeli,0,FI,1561853121,76,61.69,27.27,55.4,5.82
549,gorontalo,40,ID,1561853121,73,0.54,123.06,79.92,7.58
550,nyurba,40,RU,1561853121,51,63.29,118.35,75.02,2.46
551,rennes,0,FR,1561853122,82,48.11,-1.68,64.0,6.93
552,yamada,75,JP,1561853122,94,36.58,137.08,82.4,2.24
